scene,time,scene_type,scene_type_confidence,classification_reliable,M,A,O,F,EI,level,audio_mood,audio_emotion,audio_confidence,audio_emotion_raw_score,camera_angle,face_emotion,face_found,objects,tempo_bpm,mfcc_mean,spectral_centroid,fusion_confidence
108,02:08.09-02:08.75,Comedy,0.9306,True,0.0743,1.0,0.464,0.8878,0.55,Medium,intense,angry,0.375,0.375,left,neutral,True,"person, tie",143.55,8.5997,2217.91,0.9306
109,02:08.75-02:09.84,Comedy,0.9356,True,0.22,1.0,0.5985,0.6882,0.6,Medium,intense,angry,0.4483,0.4483,left,fear,True,"person, tie, vase",143.55,9.6439,2049.89,0.9356
110,02:09.84-02:10.76,Emotional,0.4443,True,0.1394,0.7237,0.3675,0.0,0.34,Low,intense,angry,0.2889,0.2889,front,unknown,False,person,143.55,-1.6822,1611.08,0.4443
111,02:10.76-02:11.34,Comedy,0.939,True,0.1106,1.0,0.5705,0.0,0.45,Medium,intense,angry,0.3421,0.3421,left,unknown,False,"dog, person",143.55,1.0429,1847.21,0.939
112,02:11.34-02:12.34,Comedy,0.73,True,0.191,1.0,0.0,0.0,0.37,Low,intense,happy,0.4,0.4,left,unknown,False,,143.55,13.8522,2318.94,0.73
113,02:12.34-02:13.22,Comedy,0.7865,True,0.1139,1.0,1.0,0.0,0.54,Medium,intense,angry,0.3958,0.3958,left,unknown,False,"bicycle, car, person",143.55,11.3118,2896.66,0.7865
114,02:13.22-02:14.13,Comedy,0.7651,True,0.8861,1.0,0.3759,0.0,0.69,Medium,intense,happy,0.3684,0.3684,right,unknown,False,person,143.55,6.495,2252.91,0.7651
115,02:14.13-02:14.68,Romance,0.644,True,0.6451,1.0,0.3753,0.0,0.6,Medium,intense,angry,0.4062,0.4062,right,unknown,False,person,143.55,6.4506,1951.28,0.644
116,02:14.68-02:15.64,Comedy,0.905,True,0.2466,1.0,0.6482,0.0,0.52,Medium,intense,happy,0.3684,0.3684,right,unknown,False,"bicycle, person",143.55,13.0272,2377.19,0.905
117,02:15.64-02:16.39,Comedy,0.8335,True,0.5571,1.0,0.3751,0.0,0.57,Medium,intense,happy,0.3889,0.3889,right,unknown,False,person,143.55,11.654,2623.0,0.8335
118,02:16.39-02:18.43,Romance,0.5933,True,0.4559,1.0,0.3785,0.0,0.54,Medium,intense,angry,0.3824,0.3824,left,unknown,False,person,143.55,12.5721,1832.31,0.5933
119,02:18.43-02:19.85,Comedy,0.6493,True,0.4291,1.0,0.3818,0.0,0.53,Medium,intense,angry,0.4483,0.4483,right,unknown,False,person,143.55,11.3304,2199.79,0.6493
120,02:19.85-02:22.68,Comedy,0.8558,True,0.4256,1.0,0.3695,0.0,0.52,Medium,intense,happy,0.3333,0.3333,right,unknown,False,person,143.55,12.729,2527.51,0.8558
121,02:22.68-02:24.52,Romance,0.6454,True,0.6011,1.0,0.5242,0.0,0.62,Medium,intense,angry,0.3714,0.3714,right,unknown,False,"person, skateboard",143.55,10.833,1532.29,0.6454
122,02:24.52-02:26.52,Unknown,0.23,False,0.5849,0.3694,0.3775,0.0,0.39,Low,suspense,happy,0.4211,0.4211,right,unknown,False,person,143.55,-12.0947,2552.17,0.23
123,02:26.52-02:29.07,Comedy,0.7167,True,0.0418,1.0,0.0,0.0,0.31,Low,intense,happy,0.4375,0.4375,left,unknown,False,,143.55,12.9192,2377.13,0.7167
124,02:29.07-02:30.65,Dialogue,0.6341,True,0.485,1.0,0.6921,0.6368,0.7,High,intense,angry,0.4062,0.4062,left,happy,True,"bed, couch, person",143.55,5.9208,1844.36,0.6341
125,02:30.65-02:31.69,Comedy,0.7225,True,0.0998,0.8981,0.3707,0.8498,0.51,Medium,intense,angry,0.3824,0.3824,left,fear,True,person,143.55,-2.3408,1821.77,0.7225
126,02:31.69-02:33.82,Comedy,0.8609,True,0.4048,0.9316,0.3819,0.5481,0.58,Medium,intense,angry,0.3421,0.3421,left,surprise,True,person,143.55,-0.0158,1817.9,0.8609
127,02:33.82-02:35.28,Comedy,0.4327,True,0.1073,0.9834,0.4919,0.8065,0.55,Medium,intense,angry,0.3714,0.3714,left,neutral,True,"couch, person",143.55,0.6446,1629.98,0.4327
128,02:35.28-02:38.03,Comedy,0.5471,True,0.1934,0.9671,0.3782,0.8653,0.56,Medium,intense,angry,0.3714,0.3714,left,fear,True,person,143.55,3.2789,1777.2,0.5471
129,02:38.03-02:38.70,Emotional,0.4938,True,0.1342,0.391,0.6522,0.9977,0.44,Medium,suspense,happy,0.5556,0.5556,left,surprise,True,"bottle, couch, person",143.55,-5.781,2024.85,0.4938
130,02:38.70-02:42.79,Emotional,0.6533,True,0.6091,0.4012,0.3849,0.8388,0.54,Medium,suspense,happy,0.4194,0.4194,left,neutral,True,person,184.57,-9.5707,1525.94,0.6533
131,02:42.79-02:44.21,Comedy,0.5393,True,0.5479,1.0,0.5557,0.9572,0.75,High,intense,angry,0.4483,0.4483,right,neutral,True,"person, toilet",143.55,12.7937,2042.22,0.5393
132,02:44.21-02:45.83,Romance,0.8111,True,0.07,0.6194,0.5738,0.0,0.33,Low,emotional,happy,0.3409,0.3409,left,unknown,False,"book, cup, person",143.55,-7.1416,2058.56,0.8111
133,02:45.83-02:46.79,Comedy,0.847,True,0.4849,1.0,0.5582,0.0,0.58,Medium,intense,happy,0.3684,0.3684,left,unknown,False,"dog, person",143.55,10.8301,2457.11,0.847
134,02:46.79-02:48.84,Romance,0.9114,True,0.2634,1.0,0.0,0.0,0.39,Low,intense,angry,0.3514,0.3514,right,unknown,False,,143.55,4.9342,1618.24,0.9114
